羅幸娥,63,56,52,84,87,67,50
周芷蓁,74,63,98,68,80,50,70
昌嘉洋,50,79,63,71,47,69,63
賴又琦,88,86,61,77,48,41,67
蔡士賢,87,96,68,56,41,53,87
黃雅慧,57,54,49,84,73,48,82
蔡偉成,79,79,74,62,58,58,62
蔡至剛,55,40,87,69,70,92,66
張伊映,66,89,46,88,84,66,68
賴又琦,97,73,91,62,41,75,75
翁均安,72,48,60,84,53,81,77
李進慧,80,71,80,97,73,51,81
高信宏,61,100,45,76,85,61,100
陳慧君,51,41,44,84,95,86,43
劉嘉泰,46,42,67,78,95,41,88
朱彥志,64,96,42,53,57,88,97
王雅琴,83,68,58,85,56,89,68
陳姵彬,58,51,100,94,85,49,80
白世宏,95,83,80,58,74,77,60
蔡偉成,58,93,51,50,65,84,87
黃佩玲,62,44,86,42,52,81,54
張軒宸,86,98,41,54,50,46,92
蘇凡菁,52,84,60,57,60,96,55
鄭奇翰,99,75,44,41,70,60,53
張伊映,81,74,80,72,93,89,65
白世宏,76,55,80,89,69,61,93
陳倩妮,40,84,70,41,95,98,59
陳怡容,45,91,85,47,48,69,40
高士凱,55,40,84,71,89,68,90
游詩亞,97,76,94,59,71,64,72
賴又琦,80,50,86,42,97,63,61
王柏聖,92,78,68,96,93,81,89
詹忠光,55,94,46,78,47,61,74
林思賢,61,74,74,55,54,43,41
吳孟穎,89,93,70,67,60,70,62
鄭憲定,51,75,75,56,67,68,45
元延辛,66,93,85,57,52,92,79
黃翔杰,56,78,95,61,98,60,43
陳文賢,94,52,80,60,93,83,51
陳奇瑄,79,60,81,77,42,67,61
張家秀,82,79,89,72,99,53,44
張明惟,83,63,98,69,97,86,91
溫重意,83,50,41,81,62,66,97
張天亨,88,90,72,69,52,65,86
林士凱,69,61,91,97,93,49,86
王柏聖,60,41,87,77,90,73,44
簡國瑋,67,62,48,53,64,87,52
賴苑禾,41,49,48,57,91,81,92
王孝純,76,65,40,72,49,41,59
龔姵君,84,49,64,89,87,91,71
